train_images,val_images,test_image_name,predicted_label
11_47_14_537.jpg,screenshot10_124.jpg,screenshot10_1.jpg,0
11_47_14_537.png,screenshot10_154.jpg,screenshot10_10.jpg,0
11_48_06_418.jpg,screenshot10_156.jpg,screenshot10_108.jpg,0
11_48_06_418.png,screenshot10_175.jpg,screenshot10_116.jpg,0
11_48_32_390.jpg,screenshot10_177.jpg,screenshot10_130.jpg,0
11_48_32_390.png,screenshot10_185.jpg,screenshot10_132.jpg,0
11_48_57_696.jpg,screenshot10_201.jpg,screenshot10_14.jpg,0
11_48_57_696.png,screenshot10_206.jpg,screenshot10_18.jpg,0
11_49_54_649.jpg,screenshot10_212.jpg,screenshot10_3.jpg,0
11_49_54_649.png,screenshot10_213.jpg,screenshot10_72.jpg,0
11_50_02_892.jpg,screenshot10_216.jpg,screenshot10_98.jpg,0
11_50_02_892.png,screenshot10_232.jpg,screenshot11_113.jpg,0
11_50_10_267.jpg,screenshot10_235.jpg,screenshot11_140.jpg,0
11_50_10_267.png,screenshot10_25.jpg,screenshot11_18.jpg,0
11_51_20_873.jpg,screenshot10_32.jpg,screenshot11_186.jpg,0
11_51_20_873.png,screenshot10_37.jpg,screenshot11_197.jpg,0
11_52_17_025.jpg,screenshot10_39.jpg,screenshot11_200.jpg,0
11_52_17_025.png,screenshot10_65.jpg,screenshot11_225.jpg,0
11_52_25_368.jpg,screenshot11_1.jpg,screenshot11_227.jpg,1
11_52_25_368.png,screenshot11_106.jpg,screenshot11_28.jpg,0
11_52_35_331.jpg,screenshot11_121.jpg,screenshot11_43.jpg,0
11_52_35_331.png,screenshot11_164.jpg,screenshot11_58.jpg,0
11_52_50_355.jpg,screenshot11_177.jpg,screenshot11_81.jpg,1
11_52_50_355.png,screenshot11_182.jpg,screenshot11_84.jpg,0
11_53_15_604.jpg,screenshot11_201.jpg,screenshot12_140.jpg,0
11_53_15_604.png,screenshot11_23.jpg,screenshot12_147.jpg,0
11_53_40_843.jpg,screenshot11_26.jpg,screenshot12_166.jpg,0
11_53_40_843.png,screenshot11_31.jpg,screenshot12_170.jpg,0
11_54_03_625.jpg,screenshot11_53.jpg,screenshot12_201.jpg,0
11_54_03_625.png,screenshot11_64.jpg,screenshot12_42.jpg,0
11_54_20_409.jpg,screenshot11_75.jpg,screenshot12_5.jpg,0
11_54_20_409.png,screenshot12_102.jpg,screenshot12_58.jpg,0
11_54_32_100.jpg,screenshot12_107.jpg,screenshot12_65.jpg,0
11_54_32_100.png,screenshot12_11.jpg,screenshot12_90.jpg,0
12_37_30_025.jpg,screenshot12_160.jpg,screenshot13_113.jpg,0
12_37_30_025.png,screenshot12_184.jpg,screenshot13_130.jpg,0
12_37_36_313.jpg,screenshot12_20.jpg,screenshot13_134.jpg,0
12_37_36_313.png,screenshot12_214.jpg,screenshot13_140.jpg,0
12_38_05_508.jpg,screenshot12_218.jpg,screenshot13_148.jpg,0
12_38_05_508.png,screenshot12_219.jpg,screenshot13_151.jpg,0
12_38_30_016.jpg,screenshot12_24.jpg,screenshot13_19.jpg,0
12_38_30_016.png,screenshot12_47.jpg,screenshot13_192.jpg,1
12_38_30_799.jpg,screenshot12_67.jpg,screenshot13_221.jpg,0
12_38_30_799.png,screenshot12_69.jpg,screenshot13_226.jpg,0
12_38_37_103.jpg,screenshot12_80.jpg,screenshot13_23.jpg,0
12_38_37_103.png,screenshot12_84.jpg,screenshot13_236.jpg,0
12_38_48_114.jpg,screenshot12_98.jpg,screenshot13_36.jpg,0
12_38_48_114.png,screenshot13_100.jpg,screenshot13_49.jpg,0
12_39_40_001.jpg,screenshot13_132.jpg,screenshot14_104.jpg,0
12_39_40_001.png,screenshot13_139.jpg,screenshot14_113.jpg,0
12_39_51_814.jpg,screenshot13_146.jpg,screenshot14_117.jpg,0
12_39_51_814.png,screenshot13_152.jpg,screenshot14_124.jpg,0
12_40_23_423.jpg,screenshot13_156.jpg,screenshot14_172.jpg,0
12_40_23_423.png,screenshot13_180.jpg,screenshot14_226.jpg,0
12_40_34_528.jpg,screenshot13_191.jpg,screenshot14_252.jpg,0
12_40_34_528.png,screenshot13_202.jpg,screenshot14_36.jpg,0
12_40_41_583.jpg,screenshot13_222.jpg,screenshot14_4.jpg,0
12_40_41_583.png,screenshot13_30.jpg,screenshot14_5.jpg,0
12_41_24_752.jpg,screenshot13_31.jpg,screenshot14_56.jpg,0
12_41_24_752.png,screenshot13_33.jpg,screenshot14_63.jpg,0
12_41_31_036.jpg,screenshot13_53.jpg,screenshot15_12.jpg,0
12_41_31_036.png,screenshot13_81.jpg,screenshot15_147.jpg,0
12_41_45_279.jpg,screenshot13_92.jpg,screenshot15_15.jpg,0
12_41_45_279.png,screenshot13_95.jpg,screenshot15_182.jpg,0
12_41_57_039.jpg,screenshot14_137.jpg,screenshot15_189.jpg,0
12_41_57_039.png,screenshot14_17.jpg,screenshot15_192.jpg,0
12_42_05_697.jpg,screenshot14_171.jpg,screenshot15_200.jpg,0
12_42_05_697.png,screenshot14_173.jpg,screenshot15_216.jpg,0
12_42_18_211.jpg,screenshot14_178.jpg,screenshot15_220.jpg,1
12_42_18_211.png,screenshot14_185.jpg,screenshot15_29.jpg,0
12_42_25_215.jpg,screenshot14_213.jpg,screenshot15_49.jpg,0
